id,level,dom_fr,ch,ch_fr,les,les_fr,notion_ar,comp,extype,diff,ambig,score,steps,nnot,nsub,nprop,statut,dup,src,src_type,src_num,nchars,why,body
7M-CH01-L01-EX001,7e,Nombres,CH01,Arithmétique et dénombrement,L01,Division euclidienne,القسمة الإقليدية,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,BASIQUE,False,1,2,1,2,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2013-2014-Mr-MEJRI-ZIED.pdf,CONTROLE,2,156,une seule notion principale mobilisée; procédure courte (2 sous-question(s)); exige une justification (justifier),(8 نقاط) 1 احمل الجمله التاليه، في عمليه القسمه الاقليديه يكون الباقي دايما اصغر من . هل الكتابه التاليه : 275 = 17 x 15 +20 تمثل قسمه اقليديه ؟ علل جوابك :
7M-CH01-L01-EX002,7e,Nombres,CH01,Arithmétique et dénombrement,L01,Division euclidienne,القسمة الإقليدية,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,MOYEN,False,2,3,1,3,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Synthese-N-1-Math-7eme-2012-2013-Mr-abbedi-othmen.pdf,SYNTHESE,3,167,une seule notion principale mobilisée; plusieurs étapes (3 sous-questions); exige une justification (justifier),) :3نقاط ) 1) انجز العمليه 2) هل ان العدد 11 قاسم للعدد 3567 ؟ علل جوابك 3) هل تمثل الكتابه : 100 =13x7+9 القسمه الاقليديه ل 100 علي 7 ؟ علل جوابك 2 tunisie collegtaer
7M-CH01-L01-EX003,7e,Nombres,CH01,Arithmétique et dénombrement,L01,Division euclidienne,القسمة الإقليدية,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,BASIQUE,False,1,1,1,1,0,VARIANTE,VARIANTE,7eme/mathematiques/devoirs/Devoir-de-Synthese-N-1-Math-7eme-2012-2013-Mr-mejri-zied.pdf,SYNTHESE,3,156,une seule notion principale mobilisée; procédure courte (1 sous-question(s)); exige une justification (justifier),: (2 نقاط ) اكمل الجمله التاليه : في عمليه القسمه الاقليديه يكون الباقي دايما اصغر من هل الكتابه التاليه : 275 = 17 x 15 +20 تمثل قسمه اقليديه ؟ علل جوابك :
7M-CH01-L01-EX004,7e,Nombres,CH01,Arithmétique et dénombrement,L01,Division euclidienne,القسمة الإقليدية,"Utiliser un algorithme, un procédé ou une technique de calcul",Démonstration,MOYEN,False,3,4,1,4,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Synthese-N-1-Math-7eme-2017-2018-Mr-Ameur-Mounir.pdf,SYNTHESE,3,262,une seule notion principale mobilisée; plusieurs étapes (4 sous-questions); raisonnement développé : prouver + deduire + justifier,: (4 نقاط) 1) اكتب في صيغه قوه للعدد 10 2) بين ان العدد 4900 هو مربع كامل ثم استنتج v4900 3) اوجد باقي القسمه الاقليديه للعدد 7463185975 علي 4 . معللا جوابك e = (53) x 2° x 1005 4) عوض النقاط بالارقام المناسبه ليكون العدد *4* 9 قابلا للقسمه علي 4 و9 في نفس الوقت
7M-CH01-L01-EX005,7e,Nombres,CH01,Arithmétique et dénombrement,L01,Division euclidienne,القسمة الإقليدية,Mettre en œuvre une technique ou un procédé dans une activité géométrique,Construction géométrique,BASIQUE,False,0,4,1,4,1,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/exercices/2-7-.pdf,SERIE,18,507,une seule notion principale mobilisée; une propriété explicitement invoquée; plusieurs étapes (4 sous-questions); construction guidée sans raisonnement à produire,"ارسم مثلثاabc متقايس الضلعين قمته الرييسيهa وbac=72° . ثم ارسم خارجه نصف المستقيم [ax) بحيثxac=72° . ارسمm منتصف [bc] و عين النقطهh علي [ax) بحيث يكون (ch) عموديا علي (ax) (1 مادا يمثل المستقيم (am) بالنسبه للقطعه [bc] ؟ (2 قارن الطولينch وam مع التعليل ثمab وmh مع التعليل ايضا . (3 عين النقطهk علي [ab) بحيث يكون (ck) عموديا علي (ab) قارن الطولينch وck ثم ck وam (4 رتب الاطوال التاليه تصاعديا :bc,mh,ck التمرين رقم19 1 ( ابن المثلثات التاليه ab=5 وbc=4 وabc=60° ac=6 , bc=4 وbac=50° bac=45 , abc=70 وab=5"
7M-CH01-L01-EX006,7e,Nombres,CH01,Arithmétique et dénombrement,L01,Division euclidienne,القسمة الإقليدية,"Utiliser un algorithme, un procédé ou une technique de calcul",Application indirecte,BASIQUE,True,1,4,1,4,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/exercices/3-7-3-.pdf,SYNTHESE,4,533,une seule notion principale mobilisée; plusieurs étapes (4 sous-questions),.5/..) :5نقاط). • اتمم مستعينا بالعبارات التاليه: الحاسوب - التحكم - قابله للبرمجه اللوحه المبرمجه هي لوحه الكترونيه ... عن طريق ..تمكن من ... .. بصفه اليه في جهاز تقني و من بين اللوحات المبرمجه لوحه اردوينو اونو. • تامل لوحه الاردوينو ثم ضع ارقام تعريفات اهم عناصرها في الرسم الموالي : usb مدخل-1 2- منفذ الطاقه الكهرباييه 3-زر اعاده التشغيل 4 منافذ تزويد الطاقه 5-المداخل و المخارج الرقميه 6-المداخل التمايليه ) bi h e fo h ei c9 h bi e| (fo en ed ed fo (e0 ded de e wm 828289 eeeeenbe ebekne arduino uno www.tnisiecallege.net 0202
7M-CH01-L01-EX007,7e,Nombres,CH01,Arithmétique et dénombrement,L01,Division euclidienne,القسمة الإقليدية,"Utiliser un algorithme, un procédé ou une technique de calcul",Application directe,BASIQUE,False,0,2,1,2,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/exercices/7-2-3.pdf,SERIE,2,654,une seule notion principale mobilisée; procédure courte (2 sous-question(s)),حدد ان كانت العمليه المقترحه صحيحه ام لا متبعا المثال 6 6 5 7 9 5 3 6 3 5 3 5 0 2 2 9 6 3 8 8 1 4 9 4 8 1 6 5 9 8 8 2 4 6 1 9 1 6 3 6 8 4 9 7 6 3 6 5 4 5 4 0 4 7 0 1 4 2 4 4 3 0 2 2 8 0 9 3 9 1 7 0 2 3 0 2 9 1 1 2 7 3 4 5 1 6 8 9 3 6 7 5 1 9 5 9 1 7 3 1 7 8 4 7 2 9 8 1 2 3 1 7 1 9 2 9 2 2 2 3 0 1 3 9 3 5 1 0 1 1 4 1 1 a. b. c. d. e. f. g. h. i. j. 95 ́ 7 = 665 38 ́ 6 + 1 = 229 2 0 4 4 5 1 0 2 0 4 4 0 يعني يعني 741 5 1 148 (...) 865 12 2 72 (...) 1864 13 5 143 (...) 2917 19 10 152 (...) 5009 23 18 217 (...) 1 4 8 ́ 5 7 4 0 740 + 1 = 741 اذا العمليه صحيحه 3 4 8 6 2 ́ 3 = 6 et 3 ́ 3 = 9 (>8) 2 4 8 ́ 3 = 24 2 8 2 4 0 خارج القسمه القاسم المقسوم الباقي
7M-CH01-L01-EX008,7e,Nombres,CH01,Arithmétique et dénombrement,L01,Division euclidienne,القسمة الإقليدية,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,MOYEN,False,2,3,1,3,1,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/exercices/Serie-d-exercices-Math-7eme-2007-2008-Mr-benabdelkader-ahmed-.pdf,SERIE,2,284,une seule notion principale mobilisée; une propriété explicitement invoquée; plusieurs étapes (3 sous-questions); exige une justification (prouver),: نعتبر مربعا abcd . 1) ابن: - داخل هذا المربع المثلث المتقايس الاضلاع abe - خارج المربع: المثلث المتقايس الاضلاع bcf . b a c d 2) احسب اقيسه زوايا كل من المثلثين ade و ebf . 3) برهن ان النقاط d و e و f هي علي استقامه واحده. tunisie collegéne* احمد بنعبد القادر السابعه اساسي المثلثات
7M-CH01-L02-EX001,7e,Nombres,CH01,Arithmétique et dénombrement,L02,Critères de divisibilité,قابلية القسمة,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,MOYEN,False,2,3,1,3,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Synthese-N-1-Math-7eme-2014-2015-Mr-Amamria.pdf,SYNTHESE,3,169,une seule notion principale mobilisée; plusieurs étapes (3 sous-questions); exige une justification (justifier),): 3.5ن( 1 (اكمل : باقي قسمه العدد23547 علي4 يساوي هل ان23547 يقبل القسمه علي4؟ علل جوابك. 2 (عوض النقاط بما يناسب ليكون العدد قابلا للقسمه علي3 و25في نفس الوقت. . 2 . 6
7M-CH01-L02-EX002,7e,Nombres,CH01,Arithmétique et dénombrement,L02,Critères de divisibilité,قابلية القسمة,"Utiliser un algorithme, un procédé ou une technique de calcul",Application indirecte,MOYEN,True,2,5,1,5,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Synthese-N-1-Math-7eme-2017-2018-Mr-Mathlouthi-Lotfi.pdf,SYNTHESE,3,350,une seule notion principale mobilisée; enchaînement long (5 sous-questions),: ) 5 ( نقاط 1 ( اتمم الجدول بما يناسب العدد 12345626 98765450 65432180 باقي القسمه علي4 باقي القسمه علي25 2 ( -ٲ الاعداد في الجدول تلك التي تقبل القسمه علي 4 هي : -ب الاعداد في الجدول تلك التي تقبل القسمه علي 25:هي 3 ( -ٲ اكمل بما يناسب ليكون العدد قابلا للقسمه علي 3 وعلي4 : . 7 . 5 -ب اكمل بما يناسب ليكون العدد قابلا للقسمه علي 3 وعلي25 : . . 64
