rel,statut,level,level_conf,type,type_src,pages,chars,math_score,lycee_score,corrupt
7eme/mathematiques/corrections/Devoir-Corrige-de-Synthese-N-1-1er-Semestre-Math-7eme-2018-2019-Mr-Saem-Mongi.pdf,VALIDE,7e,CERTAIN,CORRIGE,CONTENU,2,2258,16,0,0.0
7eme/mathematiques/corrections/Devoir-de-Controle-N-1-Avec-correction-Math-1-7eme-2019-2020-Mr-Trabelsy-Badreddyne.pdf,VALIDE,7e,CERTAIN,CORRIGE,CONTENU,4,2668,6,0,0.001
7eme/mathematiques/corrections/Devoir-de-Controle-N-2-Avec-correction-Math-7eme-2019-2020-Mr-Hafsi-Salem.pdf,MIXTE_college_lycee,7e,CERTAIN,CORRIGE,CONTENU,4,2775,11,3,0.0
7eme/mathematiques/corrections/Devoir-de-Revision-N-1-College-pilote-Avec-correction-Math-7eme-2018-2019-Mme-Tekeri-Zeineb.pdf,VALIDE,7e,CERTAIN,CORRIGE,CONTENU,2,1929,9,0,0.0
7eme/mathematiques/corrections/Devoir-de-Synthese-N-1-Avec-correction-1er-Semestre-Math-7eme-2018-2019-Mr-Saem-Mongi-2.pdf,VALIDE,7e,CERTAIN,SYNTHESE,CONTENU,2,1331,16,0,0.0
7eme/mathematiques/corrections/Devoir-de-Synthese-N-1-Avec-correction-Math-7eme-2019-2020-Mr-Trabelsy-Badreddyne.pdf,VALIDE,7e,CERTAIN,CORRIGE,NOM_FICHIER,4,6061,8,1,0.052
7eme/mathematiques/corrections/Devoir-de-Synthese-N-1-Avec-correction-Math-7eme-2020-2021-Mme-Saoussen-Trabelsy.pdf,VALIDE,7e,CERTAIN,CORRIGE,NOM_FICHIER,4,6154,14,0,0.012
7eme/mathematiques/corrections/Devoir-de-controle-N-6-Corrige-Math-7eme-2009-2010-Mr-Aymen-Biz.pdf,CONTENU_MATH_FAIBLE,7e,CERTAIN,CORRIGE,NOM_FICHIER,3,205,0,0,0.0
7eme/mathematiques/cours/Cours-College-pilote-Math-7eme-2018-2019-Mme-Tekeri-Zeineb--2.pdf,VALIDE,7e,CERTAIN,COURS,NOM_FICHIER,2,1590,6,0,0.0
7eme/mathematiques/cours/Cours-College-pilote-Math-7eme-2018-2019-Mme-Tekeri-Zeineb--3.pdf,ENCODAGE_CORROMPU,7e,CERTAIN,COURS,NOM_FICHIER,1,581,4,0,0.229
